iter	Passed	Remaining
417	2501	3483
418	2507	3476
419	2512	3469
420	2517	3462
421	2523	3456
422	2529	3449
423	2534	3443
424	2541	3439
425	2547	3432
426	2552	3425
427	2559	3420
428	2565	3414
429	2571	3408
430	2577	3403
431	2583	3396
432	2589	3390
433	2594	3383
434	2600	3377
435	2606	3372
436	2612	3365
437	2617	3358
438	2623	3352
439	2629	3346
440	2634	3339
441	2640	3333
442	2646	3327
443	2652	3321
444	2658	3316
445	2664	3309
446	2670	3303
447	2676	3297
448	2682	3291
449	2687	3285
450	2693	3278
451	2698	3271
452	2703	3264
453	2708	3257
454	2713	3250
455	2718	3243
456	2724	3237
457	2729	3230
458	2734	3223
459	2740	3217
460	2746	3210
461	2751	3204
462	2757	3197
463	2762	3191
464	2767	3184
465	2773	3178
466	2778	3171
467	2783	3164
468	2791	3160
469	2796	3153
470	2802	3147
471	2807	3140
472	2813	3134
473	2821	3130
474	2827	3124
475	2832	3118
476	2839	3113
477	2844	3106
478	2850	3100
479	2856	3094
480	2862	3088
481	2869	3083
482	2874	3077
483	2880	3070
484	2886	3065
485	2892	3058
486	2897	3052
487	2903	3046
488	2908	3039
489	2913	3032
490	2919	3026
491	2924	3020
492	2929	3013
493	2935	3007
494	2940	3000
495	2946	2993
496	2951	2987
497	2957	2980
498	2962	2974
499	2967	2967
500	2973	2961
501	2978	2954
502	2984	2948
503	2989	2942
504	2994	2935
505	3000	2929
506	3006	2923
507	3011	2916
508	3017	2910
509	3022	2903
510	3027	2896
511	3032	2890
512	3038	2884
513	3043	2877
514	3048	2870
515	3053	2864
516	3059	2857
517	3064	2851
518	3069	2845
519	3075	2838
520	3081	2832
521	3086	2826
522	3091	2819
523	3097	2813
524	3102	2807
525	3107	2800
526	3113	2794
527	3119	2788
528	3124	2781
529	3130	2775
530	3135	2769
531	3142	2764
532	3148	2758
533	3153	2751
534	3159	2745
535	3164	2739
536	3170	2733
537	3175	2726
538	3181	2721
539	3187	2715
540	3193	2709
541	3202	2705
542	3207	2699
543	3214	2694
544	3220	2688
545	3226	2683
546	3232	2677
547	3238	2671
548	3244	2665
549	3250	2659
550	3255	2652
551	3261	2646
552	3266	2640
553	3272	2634
554	3277	2627
555	3282	2621
556	3288	2615
557	3293	2608
558	3299	2602
559	3304	2596
560	3309	2590
561	3315	2583
562	3320	2577
563	3325	2571
564	3331	2565
565	3337	2559
566	3343	2553
567	3348	2546
568	3353	2540
569	3360	2534
570	3366	2529
571	3371	2522
572	3378	2517
573	3383	2510
574	3387	2504
575	3393	2498
576	3399	2492
577	3405	2486
578	3411	2480
579	3416	2473
580	3421	2467
581	3427	2461
582	3432	2455
583	3438	2449
584	3444	2443
585	3449	2437
586	3455	2430
587	3461	2425
588	3466	2419
589	3471	2412
590	3477	2406
591	3483	2400
592	3488	2394
593	3494	2388
594	3500	2382
595	3505	2376
596	3512	2370
597	3517	2364
598	3523	2358
599	3528	2352
600	3534	2346
601	3539	2340
602	3545	2334
603	3552	2329
604	3558	2323
605	3564	2317
606	3569	2311
607	3575	2305
608	3581	2299
609	3586	2293
610	3592	2287
611	3597	2280
612	3602	2274
613	3608	2268
614	3614	2262
615	3619	2256
616	3625	2250
617	3631	2244
618	3637	2238
619	3643	2233
620	3648	2226
621	3654	2220
622	3660	2215
623	3665	2208
624	3671	2202
625	3676	2196
626	3681	2190
627	3686	2183
628	3692	2177
629	3696	2171
630	3702	2164
631	3708	2159
632	3713	2152
633	3718	2146
634	3724	2140
635	3729	2134
636	3734	2128
637	3739	2122
638	3745	2115
639	3750	2109
640	3755	2103
641	3761	2097
642	3766	2091
643	3782	2091
644	3788	2085
645	3793	2078
646	3798	2072
647	3804	2066
648	3809	2060
649	3814	2053
650	3819	2047
651	3825	2041
652	3830	2035
653	3834	2028
654	3839	2022
655	3844	2016
656	3849	2009
657	3854	2003
658	3859	1997
659	3864	1990
660	3870	1984
661	3875	1978
662	3880	1972
663	3886	1966
664	3891	1960
665	3896	1954
666	3902	1948
667	3907	1942
668	3912	1935
669	3918	1929
670	3924	1924
671	3929	1917
672	3935	1912
673	3940	1905
674	3944	1899
675	3950	1893
676	3955	1886
677	3960	1880
678	3965	1874
679	3971	1869
680	3977	1863
681	3983	1857
682	3988	1851
683	3994	1845
684	3999	1839
685	4004	1832
686	4009	1826
687	4014	1820
688	4019	1814
689	4024	1808
690	4030	1802
691	4035	1796
692	4040	1790
693	4045	1783
694	4051	1777
695	4056	1771
696	4062	1766
697	4068	1760
698	4073	1754
699	4078	1748
700	4084	1742
701	4089	1735
702	4095	1730
703	4101	1724
704	4106	1718
705	4111	1711
706	4116	1706
707	4122	1700
708	4127	1693
709	4133	1688
710	4138	1682
711	4143	1676
712	4149	1670
713	4155	1664
714	4160	1658
715	4166	1652
716	4171	1646
717	4176	1640
718	4182	1634
719	4187	1628
720	4192	1622
721	4198	1616
722	4203	1610
723	4208	1604
724	4214	1598
725	4220	1592
726	4224	1586
727	4230	1580
728	4236	1574
729	4241	1568
730	4248	1563
731	4253	1557
732	4258	1551
733	4264	1545
734	4270	1539
735	4275	1533
736	4281	1527
737	4286	1521
738	4292	1516
739	4298	1510
740	4303	1504
741	4309	1498
742	4315	1492
743	4320	1486
744	4325	1480
745	4331	1474
746	4336	1468
747	4341	1462
748	4346	1456
749	4351	1450
750	4356	1444
751	4362	1438
752	4367	1432
753	4372	1426
754	4378	1420
755	4383	1414
756	4388	1408
757	4393	1402
758	4398	1396
759	4404	1390
760	4409	1384
761	4414	1378
762	4419	1372
763	4424	1366
764	4430	1360
765	4435	1355
766	4441	1349
767	4447	1343
768	4452	1337
769	4457	1331
770	4463	1325
771	4468	1319
772	4473	1313
773	4478	1307
774	4483	1301
775	4488	1295
776	4494	1289
777	4499	1283
778	4504	1277
779	4510	1272
780	4515	1266
781	4520	1260
782	4527	1254
783	4532	1248
784	4537	1242
785	4543	1237
786	4548	1231
787	4553	1225
788	4559	1219
789	4564	1213
790	4569	1207
791	4574	1201
792	4579	1195
793	4584	1189
794	4590	1183
